feature,desc,transf_initial,source,source_group,"nunique, nuniquetotal",agg,include,date_col,new_name,active,comments
dpdmax_851P,Maximal past due days for active contracts in the credit bureau.,P,creditbureaub1,creditbureau1,20158,,0,,dpdmax_139P,active,
dpdmaxdatemonth_804T,Month when the maximum Day Past Due (DPD) occurred for active contracts on credit bureau's records.,T,creditbureaub1,creditbureau1,13,"min, max, mean",1,,dpdmaxdatemonth_89T,active,
dpdmaxdateyear_742T,Year of the maximum Days Past Due (DPD) on an active credit contract in the credit bureau.,T,creditbureaub1,creditbureau1,16,,0,,dpdmaxdateyear_596T,active,
installmentamount_644A,Instalment amount of a closed and secured credit contract.,A,creditbureaub1,creditbureau1,84,,0,,instlamount_852A,closed,
installmentamount_833A,Instalment amount for a secured and active contract in credit bureau.,A,creditbureaub1,creditbureau1,41973,,0,,instlamount_768A,active,
instlamount_892A,Instalment amount for active credit contract.,A,creditbureaub1,creditbureau1,31160,,0,,instlamount_892A,active,
interesteffectiverate_369L,Interest rate on active contract.,L,creditbureaub1,creditbureau1,2643,,0,,nominalrate_281L,active,
interestrateyearly_538L,Annual interest rate for existing contract obtained from credit bureau.,L,creditbureaub1,creditbureau1,419,,0,,annualeffectiverate_63L,active,
lastupdate_260D,Last update date for the active contracts.,D,creditbureaub1,creditbureau1,612,,1,,lastupdate_1112D,active,
maxdebtpduevalodued_3940955A,Days past due at the time of the maximum debt.,P,creditbureaub1,creditbureau1,1474,,0,,maxdebtpduevalodued_3940955A,common,
numberofinstls_810L,Number of instalments for the active contract.,L,creditbureaub1,creditbureau1,244,,0,,numberofinstls_320L,active,
overdueamountmax_950A,Maximal past due amount for active contract.,A,creditbureaub1,creditbureau1,1835,,0,,overdueamountmax_155A,active,
overdueamountmaxdatemonth_494T,Month when the maximum past due amount was recorded for an active contract with the credit bureau.,T,creditbureaub1,creditbureau1,13,"min, max",0,,overdueamountmaxdatemonth_284T,active,
overdueamountmaxdateyear_432T,Year when max past due amount occurred for active contract.,T,creditbureaub1,creditbureau1,16,,0,,overdueamountmaxdateyear_2T,active,
periodicityofpmts_997L,Frequency of instalments for active credit contracts.,L,creditbureaub1,creditbureau1,6,,0,,periodicityofpmts_997L,active,
periodicityofpmts_997M,Frequency of instalments for active credit contracts.,L,creditbureaub1,creditbureau1,11,,0,,periodicityofpmts_997M,active,
pmtdaysoverdue_1135P,Number of days past due for existing contracts in the credit bureau.,P,creditbureaub1,creditbureau1,1634,,0,,pmtdaysoverdue_1135P,active,
pmtmethod_731M,Instalment payment method for existing contract in credit bureau.,M,creditbureaub1,creditbureau1,10,"nunique, nuniquetotal",1,,pmtmethod_731M,active,
pmtnumpending_403L,Number of pending payments for active contract.,L,creditbureaub1,creditbureau1,263,,0,,pmtnumpending_403L,active,
purposeofcred_722M,Purpose of credit for active contracts.,M,creditbureaub1,creditbureau1,16,"nunique, nuniquetotal, mode, last",1,,purposeofcred_426M,active,
residualamount_1093A,Residual amount of closed guarantee contract.,A,creditbureaub1,creditbureau1,3,,0,,residualamount_488A,closed,
residualamount_127A,Residual amount of active guarantee contract.,A,creditbureaub1,creditbureau1,17357,,0,,residualamount_856A,active,
residualamount_3940956A,Residual amount for the active contract.,A,creditbureaub1,creditbureau1,21889,,0,,residualamount_3940956A,active,
subjectrole_326M,Subject role in active credit contract.,M,creditbureaub1,creditbureau1,6,"nunique, nuniquetotal, mode, last",1,,subjectrole_182M,active,
subjectrole_43M,Subject role in closed credit contract.,M,creditbureaub1,creditbureau1,6,"nunique, nuniquetotal, mode, last",1,,subjectrole_93M,closed,
totalamount_503A,Total amount of active secured credit for a client.,A,creditbureaub1,creditbureau1,25798,,0,,totalamount_996A,active,
totalamount_881A,Total amount of secured credit from closed contracts.,A,creditbureaub1,creditbureau1,29138,,0,,totalamount_6A,closed,
pmts_date_1107D,"Payment date for an active contract according to credit bureau (num_group1 - contract, num_group2 - payment).",D,creditbureaub2,creditbureau2,58,,0,,pmts_date_1107D,active,
pmts_dpdvalue_108P,"Value of past due payment for active contract (num_group1 - existing contract, num_group2 - payment).",P,creditbureaub2,creditbureau2,62862,,0,,pmts_overdue_1140A,active,
pmts_pmtsoverdue_635A,"Active contract that has overdue payments (num_group1 - existing contract, num_group2 - payment).",A,creditbureaub2,creditbureau2,4164,,0,,pmts_dpd_1073P,active,
last180dayaveragebalance_704A,Average balance on debit card in the last 180 days.,A,debitcard1,debitcard1,2496,"min, max, sum",1,,,,
last180dayturnover_1134A,Debit card's turnover within the last 180 days.,A,debitcard1,debitcard1,2582,"min, max, sum",1,,,,
last30dayturnover_651A,Debit card turnover for the last 30 days.,A,debitcard1,debitcard1,483,"min, max, sum",1,,,,
openingdate_857D,Debit card opening date.,D,debitcard1,debitcard1,1579,"min, max, mean, count",1,1,,,
amount_416A,Deposit amount.,A,deposit1,deposit1,40724,"min, max, sum",1,,,,
contractenddate_991D,End date of deposit contract.,D,deposit1,deposit1,1525,"min, max",1,,,,
openingdate_313D,Deposit account opening date.,D,deposit1,deposit1,1579,"min, max, count",1,1,,,
amtdebitincoming_4809443A,Incoming debit card transactions amount.,A,other1,other1,9704,"min, max, sum",1,,,,
amtdebitoutgoing_4809440A,Outgoing debit card transactions amount.,A,other1,other1,9700,"min, max, sum",1,,,,
amtdepositbalance_4809441A,Deposit balance of client.,A,other1,other1,8915,"min, max, sum",1,,,,
amtdepositincoming_4809444A,Amount of incoming deposits to client's account.,A,other1,other1,2625,"min, max, sum",1,,,,
amtdepositoutgoing_4809442A,Amount of outgoing deposits from client's account.,A,other1,other1,5561,"min, max, sum, mean",1,,,,
birth_259D,Date of birth of the person.,D,person1,person1,681,"min, max",1,,,,
birthdate_87D,Birth date of the person.,D,person1,person1,660,"min, max",1,,,,
childnum_185L,Number of children of the applicant.,L,person1,person1,12,"min, max",0,,,,
contaddr_district_15M,Zip code of a contact person's address.,M,person1,person1,975,,1,,,,
contaddr_matchlist_1032L,Indicates whether the contact address is found in a code list.,L,person1,person1,2,,1,,,,
contaddr_smempladdr_334L,Indicates whether the contact address is the same as the employment address.,L,person1,person1,3,,1,,,,
contaddr_zipcode_807M,Zip code of contact address.,M,person1,person1,3530,,0,,,,
education_927M,Education level of the person.,M,person1,person1,6,"mode, nuniquetotal",1,,,,
empl_employedfrom_271D,Start date of employment.,D,person1,person1,8076,,1,,,,
empl_employedtotal_800L,Employment length of a person.,L,person1,person1,4,,1,,,,
empl_industry_691L,Employment Industry of the person.,L,person1,person1,25,,1,,,,
empladdr_district_926M,District where the employer's address is located.,M,person1,person1,223,,1,,,,
empladdr_zipcode_114M,Zipcode of employer's address.,M,person1,person1,3339,,1,,,,
familystate_447L,Family state of the person.,L,person1,person1,6,,1,,,,
gender_992L,Gender of a person.,L,person1,person1,3,"mode, nuniquetotal",1,,,,
housetype_905L,House type of the person.,L,person1,person1,7,,1,,,,
housingtype_772L,Type of housing of the person.,L,person1,person1,7,"mode, nuniquetotal",0,,,,
incometype_1044T,Type of income of the person,T,person1,person1,10,,1,,,,
isreference_387L,Flag indicating whether the person is a reference contact.,L,person1,person1,3,,0,,,,
language1_981M,The primary language of the person.,M,person1,person1,3,,1,,,,
mainoccupationinc_384A,Amount of the main income of the client.,A,person1,person1,6633,,1,,,,
maritalst_703L,Marital status of the client.,L,person1,person1,6,mode,0,,,,
personindex_1023L,Order of the person specified on the application form.,L,person1,person1,8,,0,,,,
persontype_1072L,Person type.,L,person1,person1,4,mode,1,,,,
persontype_792L,Person type.,L,person1,person1,4,mode,0,,,,
registaddr_district_1083M,District of person's registered address.,M,person1,person1,991,,1,,,,
registaddr_zipcode_184M,Registered address's zip code of a person.,M,person1,person1,3531,,1,,,,
relationshiptoclient_415T,Relationship to the client.,T,person1,person1,11,mode,0,,,,
relationshiptoclient_642T,Relationship to the client.,T,person1,person1,11,mode,0,,,,
remitter_829L,Flag indicating whether the client is a remitter.,L,person1,person1,2,,0,,,,
role_1084L,Type of contact role.,L,person1,person1,4,,1,,,,
role_993L,Person's role.,L,person1,person1,2,,1,,,,
safeguarantyflag_411L,Flag indicating if client is using a flexible product with additional safeguard garanty.,L,person1,person1,3,,1,,,,
sex_738L,Gender of the client.,L,person1,person1,3,,1,,,,
type_25L,Contact type of a person.,L,person1,person1,9,mode,1,,,,
addres_district_368M,District of the person's address.,M,person2,person2,508,,0,,,,
addres_role_871L,Role of person's address.,L,person2,person2,9,,0,,,,
addres_zip_823M,Zip code of the address.,M,person2,person2,2027,"nunique, nuniquetotal",0,,,,
conts_role_79M,Type of contact role of a person.,M,person2,person2,11,"nunique, nuniquetotal",1,,,,
empls_economicalst_849M,"The economical status of the person (num_group1 - person, num_group2 - employment).",M,person2,person2,10,"nunique, nuniquetotal",1,,,,
empls_employedfrom_796D,"Start of employment (num_group1 - person, num_group2 - employment).",D,person2,person2,802,,0,,,,
empls_employer_name_740M,"Employer's name (num_group1 - person, num_group2 - employment).",M,person2,person2,7153,,0,,,,
relatedpersons_role_762T,"Relationship type of a client's related person (num_group1 - person, num_group2 - related person).",T,person2,person2,11,,0,,,,
actualdpdtolerance_344P,DPD of client with tolerance.,P,static0,static0,137,,1,,,,
amtinstpaidbefduel24m_4187115A,Number of instalments paid before due date in the last 24 months.,A,static0,static0,288168,,1,,,,
annuity_780A,Monthly annuity amount.,A,static0,static0,59226,,1,,,,
annuitynextmonth_57A,Next month's amount of annuity.,A,static0,static0,51867,,1,,,,
applicationcnt_361L,Number of applications associated with the same email address as the client.,L,static0,static0,4,,1,,,,
applications30d_658L,Number of applications made by the client in the last 30 days.,L,static0,static0,25,,1,,,,
applicationscnt_1086L,Number of applications associated with the same phone number.,L,static0,static0,110,,1,,,,
applicationscnt_464L,Number of applications made in the last 30 days by other clients with the same employer as the applicant.,L,static0,static0,246,,1,,,,
applicationscnt_629L,Number of applications with the same employer in the last 7 days.,L,static0,static0,90,,1,,,,
applicationscnt_867L,Number of applications associated with the same mobile phone.,L,static0,static0,150,,1,,,,
avgdbddpdlast24m_3658932P,Average days past or before due of payment during the last 24 months.,P,static0,static0,3473,,1,,,,
avgdbddpdlast3m_4187120P,Average days past or before due of payment during the last 3 months.,P,static0,static0,2553,,1,,,,
avgdbdtollast24m_4525197P,Average days of payment before due date within the last 24 months (with tolerance).,P,static0,static0,3451,,1,,,,
avgdpdtolclosure24_3658938P,"Average DPD (days past due) with tolerance within the past 24 months from the maximum closure date, assuming that the contract is finished. If the contract is ongoing, the calculation is based on the current date.",P,static0,static0,3488,,1,,,,
avginstallast24m_3658937A,Average instalments paid by the client over the past 24 months.,A,static0,static0,74716,,1,,,,
avglnamtstart24m_4525187A,Average loan amount in the last 24 months.,A,static0,static0,38223,,1,,,,
avgmaxdpdlast9m_3716943P,Average Days Past Due (DPD) of the client in last 9 months.,P,static0,static0,193,,1,,,,
avgoutstandbalancel6m_4187114A,Average outstanding balance of applicant for the last 6 months.,A,static0,static0,241149,,1,,,,
avgpmtlast12m_4525200A,Average of payments made by the client in the last 12 months.,A,static0,static0,80898,,1,,,,
bankacctype_710L,Type of applicant's bank account.,L,static0,static0,2,,1,,,,
cardtype_51L,Type of credit card.,L,static0,static0,3,,1,,,,
clientscnt_100L,Number of applications with matching employer's phone and client's.,L,static0,static0,14,,1,,,,
clientscnt_1022L,Number of clients sharing the same mobile phone.,L,static0,static0,100,,1,,,,
clientscnt_1071L,Number of applications where the alternative phone number matches that of the client.,L,static0,static0,8,,1,,,,
clientscnt_1130L,Number of applications where client's phone number matches the alternative phone contact.,L,static0,static0,20,,1,,,,
clientscnt_136L,Number of applications associated with same email address as client's email.,L,static0,static0,4,,1,,,,
clientscnt_157L,Number of clients whose employer has the same phone number as the client.,L,static0,static0,27,,1,,,,
clientscnt_257L,Number of clients that share an alternative phone number with the applicant.,L,static0,static0,11,,1,,,,
clientscnt_304L,Number of clients with the same phone number.,L,static0,static0,37,,1,,,,
clientscnt_360L,Number of clients that have the same alternative phone number and employer's phone number.,L,static0,static0,7,,1,,,,
clientscnt_493L,Number of clients with matching phone numbers for both the employer and the client.,L,static0,static0,67,,1,,,,
clientscnt_533L,Number of clients with same client's and alternative's phone number,L,static0,static0,8,,1,,,,
clientscnt_887L,Number of clients sharing the same employer's phone number.,L,static0,static0,456,,1,,,,
clientscnt_946L,Number of clients with matching mobile and employer's number.,L,static0,static0,19,,1,,,,
clientscnt12m_3712952L,Number of clients that have used the same mobile phone as the applicant in the past 12 months.,L,static0,static0,86,,1,,,,
clientscnt3m_3712950L,Number of clients who have the same mobile phone number in the last 3 months.,L,static0,static0,74,,1,,,,
clientscnt6m_3712949L,Total number of clients who have used the same mobile number in the last 6 months.,L,static0,static0,85,,1,,,,
cntincpaycont9m_3716944L,Number of incoming payments in the past 9 months.,L,static0,static0,102,,1,,,,
cntpmts24_3658933L,Number of months with any incoming payment in last 24 months.,L,static0,static0,27,,1,,,,
commnoinclast6m_3546845L,Number of communications indicating low income in the last six months.,L,static0,static0,2,,1,,,,
credamount_770A,Loan amount or credit card limit.,A,static0,static0,92052,,1,,,,
credtype_322L,Type of credit.,L,static0,static0,3,,1,,,,
currdebt_22A,Current debt amount of the client.,A,static0,static0,159954,,1,,,,
currdebtcredtyperange_828A,Current amount of debt of the applicant.,A,static0,static0,99220,,1,,,,
datefirstoffer_1144D,Date of first customer relationship management (CRM) offer.,D,static0,static0,1378,,1,,,,
datelastinstal40dpd_247D,Date of last instalment that was more than 40 days past due (DPD).,D,static0,static0,5021,,1,,,,
datelastunpaid_3546854D,Date of the last unpaid instalment.,D,static0,static0,5158,,1,,,,
daysoverduetolerancedd_3976961L,Number of days that past after the due date (with tolerance).,L,static0,static0,4323,,1,,,,
deferredmnthsnum_166L,Number of deferred months.,L,static0,static0,1,,1,,,,
disbursedcredamount_1113A,Disbursed credit amount after consolidation.,A,static0,static0,95505,,1,,,,
disbursementtype_67L,Type of disbursement.,L,static0,static0,4,,1,,,,
downpmt_116A,Amount of downpayment.,A,static0,static0,4867,,1,,,,
dtlastpmtallstes_4499206D,Date of last payment made by the applicant.,D,static0,static0,4388,,1,,,,
eir_270L,Interest rate.,L,static0,static0,102,,1,,,,
equalitydataagreement_891L,"Flag indicating sudden changes in client's social-demographic data (e.g. education, family status, housing type).",L,static0,static0,3,,1,,,,
equalityempfrom_62L,Flag indicating a sudden change in the client's length of employment.,L,static0,static0,3,,1,,,,
firstclxcampaign_1125D,Date of the client's first campaign.,D,static0,static0,1237,,1,,,,
firstdatedue_489D,Date of the first due date.,D,static0,static0,5117,,1,,,,
homephncnt_628L,Number of distinct home phones on client's application.,L,static0,static0,14,,1,,,,
inittransactionamount_650A,Initial transaction amount of the credit application.,A,static0,static0,22749,,1,,,,
inittransactioncode_186L,Transaction type of the initial credit transaction.,L,static0,static0,3,,1,,,,
interestrate_311L,The interest rate of the active credit contract.,L,static0,static0,102,,1,,,,
interestrategrace_34L,Interest rate during the grace period.,L,static0,static0,2,,1,,,,
isbidproduct_1095L,Flag indicating if the product is a cross-sell.,L,static0,static0,2,,1,,,,
isbidproductrequest_292L,Flag indicating if the product is a cross-sell.,L,static0,static0,2,,1,,,,
isdebitcard_729L,Flag indicating if the product is a debit card.,L,static0,static0,2,,0,,,,
lastactivateddate_801D,Contract activation date for previous applications.,D,static0,static0,4083,,1,,,,
lastapplicationdate_877D,Date of previous customer's application.,D,static0,static0,5208,,1,,,,
lastapprcommoditycat_1041M,Commodity category of the last loan applications made by the applicant.,M,static0,static0,42,,1,,,,
lastapprcommoditytypec_5251766M,Commodity type of the last application.,M,static0,static0,214,,1,,,,
lastapprcredamount_781A,Credit amount from the client's last application.,A,static0,static0,68116,,1,,,,
lastapprdate_640D,Date of approval on client's most recent previous application.,D,static0,static0,5301,,1,,,,
lastcancelreason_561M,Cancellation reason of the last application.,M,static0,static0,67,,1,,,,
lastdelinqdate_224D,Date of the last delinquency occurrence.,D,static0,static0,3960,,1,,,,
lastdependentsnum_448L,Number of dependents in the client's last loan application.,L,static0,static0,10,,1,,,,
lastotherinc_902A,Amount of other income reported by the client in their last application.,A,static0,static0,20,,1,,,,
lastotherlnsexpense_631A,Monthly expenses on other loans from the last application.,A,static0,static0,126,,1,,,,
lastrejectcommoditycat_161M,Category of commodity in the applicant's last rejected application.,M,static0,static0,40,,1,,,,
lastrejectcommodtypec_5251769M,Commodity type of the last rejected application.,M,static0,static0,187,,1,,,,
lastrejectcredamount_222A,Credit amount on last rejected application.,A,static0,static0,40868,,1,,,,
lastrejectdate_50D,Date of most recent rejected application by the applicant.,D,static0,static0,5321,,1,,,,
lastrejectreason_759M,Reason for rejection on the most recent rejected application.,M,static0,static0,17,,1,,,,
lastrejectreasonclient_4145040M,Reason for the client's last loan rejection.,M,static0,static0,14,,1,,,,
lastrepayingdate_696D,Date of the last payment made by the applicant.,D,static0,static0,298,,1,,,,
lastst_736L,Status of the client's previous credit application.,L,static0,static0,12,,1,,,,
maininc_215A,Client's primary income amount.,A,static0,static0,4069,,1,,,,
mastercontrelectronic_519L,Flag indicating the existence of the master contract for the client.,L,static0,static0,2,,1,,,,
mastercontrexist_109L,Flag indicating whether or not the applicant has an existing master contract.,L,static0,static0,2,,1,,,,
maxannuity_159A,Maximum annuity previously obtained by client.,A,static0,static0,175921,,1,,,,
maxannuity_4075009A,Maximal annuity offered to the client in the current application.,A,static0,static0,3552,,1,,,,
maxdbddpdlast1m_3658939P,Maximum number of days past due in the last month. A negative value indicates the number of days before the due date.,P,static0,static0,1531,,1,,,,
maxdbddpdtollast12m_3658940P,Maximum number of days past due in last 12 months. A negative value implies days before due date.,P,static0,static0,3048,,1,,,,
maxdbddpdtollast6m_4187119P,Maximum number of days past due in last 6 months. This predictor takes the value as a negative number when it represents days before due date.,P,static0,static0,2302,,1,,,,
maxdebt4_972A,Maximal principal debt of the client in the history older than 4 months.,A,static0,static0,207891,,1,,,,
maxdpdfrom6mto36m_3546853P,Maximum Days Past Due (DPD) in the period ranging from 6 to 36 months.,P,static0,static0,3280,,1,,,,
maxdpdinstldate_3546855D,Date of instalment on which client was most days past due.,D,static0,static0,5196,,1,,,,
maxdpdinstlnum_3546846P,Instalment number of which client was most days past due.,P,static0,static0,63,,1,,,,
maxdpdlast12m_727P,Maximum days past due in the past 12 months.,P,static0,static0,2428,,1,,,,
maxdpdlast24m_143P,Maximal days past due in the last 24 months.,P,static0,static0,3129,,1,,,,
maxdpdlast3m_392P,Maximum number of days past due in last 3 months.,P,static0,static0,1127,,1,,,,
maxdpdlast6m_474P,Maximum days past due in the last 6 months.,P,static0,static0,1629,,1,,,,
maxdpdlast9m_1059P,Maximum days past due in last 9 months.,P,static0,static0,2052,,1,,,,
maxdpdtolerance_374P,Maximum number of days past due (with tolerance).,P,static0,static0,3584,,1,,,,
maxinstallast24m_3658928A,Maximum instalment in the last 24 months,A,static0,static0,142613,,1,,,,
maxlnamtstart6m_4525199A,Maximum loan amount started in the last 6 months.,A,static0,static0,163874,,1,,,,
maxoutstandbalancel12m_4187113A,Maximum outstanding balance in the last 12 months.,A,static0,static0,233546,,1,,,,
maxpmtlast3m_4525190A,Maximum payment made by the client in the last 3 months.,A,static0,static0,98639,,1,,,,
mindbddpdlast24m_3658935P,Minimum days past due (or days before due) in last 24 months.,P,static0,static0,3357,,1,,,,
mindbdtollast24m_4525191P,Minimum days before due in last 24 months.,P,static0,static0,3350,,1,,,,
mobilephncnt_593L,Number of persons with the same mobile phone number.,L,static0,static0,22,,1,,,,
monthsannuity_845L,Monthly annuity amount for the applicant.,L,static0,static0,168,,1,,,,
numactivecreds_622L,Number of active credits.,L,static0,static0,8,,1,,,,
numactivecredschannel_414L,Number of active credits.,L,static0,static0,5,,1,,,,
numactiverelcontr_750L,Number of active revolving credits.,L,static0,static0,7,,1,,,,
numcontrs3months_479L,Number of contracts in last 3 months.,L,static0,static0,42,,1,,,,
numincomingpmts_3546848L,Number of incoming payments.,L,static0,static0,333,,1,,,,
numinstlallpaidearly3d_817L,Number of instalments paid at least 3 days prior to their due date.,L,static0,static0,287,,1,,,,
numinstls_657L,Number of instalments.,L,static0,static0,290,,1,,,,
numinstlsallpaid_934L,Number of paid instalments.,L,static0,static0,302,,1,,,,
numinstlswithdpd10_728L,Number of instalments that were overdue for 10 or more days.,L,static0,static0,143,,1,,,,
numinstlswithdpd5_4187116L,Number of instalments that were overdue by at least 5 days.,L,static0,static0,79,,1,,,,
numinstlswithoutdpd_562L,Number of instalments that were not past due date.,L,static0,static0,368,,1,,,,
numinstmatpaidtearly2d_4499204L,Number of instalments that have been paid more than 2 days before their due date.,L,static0,static0,288,,1,,,,
numinstpaid_4499208L,Number of paid instalments.,L,static0,static0,319,,1,,,,
numinstpaidearly_338L,Number of installments paid prior to the due date.,L,static0,static0,264,,1,,,,
numinstpaidearly3d_3546850L,Number of instalments paid more than three days before the due date.,L,static0,static0,280,,1,,,,
numinstpaidearly3dest_4493216L,Number of instalments that have been paid more than 3 days in advance of the due date.,L,static0,static0,280,,1,,,,
numinstpaidearly5d_1087L,Number of instalments paid more than 5 days prior to the due date.,L,static0,static0,51,,1,,,,
numinstpaidearly5dest_4493211L,Number of instalments that were paid more than 5 days before the due date.,L,static0,static0,51,,1,,,,
numinstpaidearly5dobd_4499205L,Number of installments paid more than 5 days prior to the due date.,L,static0,static0,264,,1,,,,
numinstpaidearlyest_4493214L,Number of instalments paid before the due date.,L,static0,static0,264,,1,,,,
numinstpaidlastcontr_4325080L,Number of paid installments from the client's last contract.,L,static0,static0,65,,1,,,,
numinstpaidlate1d_3546852L,Number of instalments paid more than 1 day past their due date.,L,static0,static0,115,,1,,,,
numinstregularpaid_973L,Number of fully paid regular installments in the client's previous contracts.,L,static0,static0,318,,1,,,,
numinstregularpaidest_4493210L,Number of fully paid regular installments on clients' previous contracts.,L,static0,static0,319,,1,,,,
numinsttopaygr_769L,Number of unpaid instalments.,L,static0,static0,105,,1,,,,
numinsttopaygrest_4493213L,Number of unpaid instalments.,L,static0,static0,105,,1,,,,
numinstunpaidmax_3546851L,Maximum number of unpaid instalments.,L,static0,static0,64,,1,,,,
numinstunpaidmaxest_4493212L,Maximum number of unpaid instalments.,L,static0,static0,64,,1,,,,
numnotactivated_1143L,Number of non-activated credits.,L,static0,static0,5,,1,,,,
numpmtchanneldd_318L,Number of previous loan contracts for the applicant that had direct debit as payment channel.,L,static0,static0,5,,1,,,,
numrejects9m_859L,Number of credit applications that were rejected in the last 9 months.,L,static0,static0,62,,1,,,,
opencred_647L,Number of active loans from the previous application.,L,static0,static0,3,,1,,,,
paytype_783L,Type of payment.,L,static0,static0,2,,0,,,,
paytype1st_925L,Type of first payment of the client.,L,static0,static0,2,,0,,,,
payvacationpostpone_4187118D,Date of last payment holiday instalment.,D,static0,static0,570,,1,,,,
pctinstlsallpaidearl3d_427L,Percentage of installments paid at least 3 days prior to the due date.,L,static0,static0,8863,,1,,,,
pctinstlsallpaidlat10d_839L,Percentage of installments that were paid 10 or more days after the due date.,L,static0,static0,4179,,1,,,,
pctinstlsallpaidlate1d_3546856L,Percentage of installments that are paid 1 or more days after the due date.,L,static0,static0,6328,,1,,,,
pctinstlsallpaidlate4d_3546849L,Percentage of installments that were paid 4 or more days past their due date.,L,static0,static0,5203,,1,,,,
pctinstlsallpaidlate6d_3546844L,Percentage of installments that were paid 6 or more days past their due date.,L,static0,static0,4783,,1,,,,
pmtnum_254L,Total number of loan payments made by the client.,L,static0,static0,40,,1,,,,
posfpd10lastmonth_333P,Average FPD10 (Share of contracts with first installment past due more than 10 days) from point of sales that processed contract in the previous month.,P,static0,static0,3,,1,,,,
posfpd30lastmonth_3976960P,Average FPD30 (Share of contracts with first installment past due more than 30 days) from point of sales that processed contract in the previous month.,P,static0,static0,3,,1,,,,
posfstqpd30lastmonth_3976962P,"Average FSTPD30 (share of contracts with first, second, or third installment past due more than 30 days) from point of sale that processed contract in the last month.",P,static0,static0,3,,1,,,,
previouscontdistrict_112M,Contact district of the client's previous approved application.,M,static0,static0,223,,0,,,,
price_1097A,Credit price.,A,static0,static0,86628,,1,,,,
sellerplacecnt_915L,Number of sellerplaces where the same client's document was used.,L,static0,static0,9,,1,,,,
sellerplacescnt_216L,Number of sellerplaces where the same client's mobile phone was used.,L,static0,static0,65,,1,,,,
sumoutstandtotal_3546847A,Sum of total outstanding amount.,A,static0,static0,159895,,1,,,,
sumoutstandtotalest_4493215A,Sum of total outstanding amount.,A,static0,static0,159866,,1,,,,
totaldebt_9A,Total amount of debt.,A,static0,static0,159977,,1,,,,
totalsettled_863A,Sum of all payments made by the client.,A,static0,static0,314655,,1,,,,
totinstallast1m_4525188A,Total amount of monthly instalments paid in the previous month.,A,static0,static0,95013,,1,,,,
twobodfilling_608L,Type of application process.,L,static0,static0,3,,1,,,,
typesuite_864L,Persons accompanying the client during the loan application process.,L,static0,static0,2,,1,,,,
validfrom_1069D,Date since the client has an active campaign.,D,static0,static0,258,,1,,,,
assignmentdate_238D,Tax authority data - date of assignment.,D,staticcb0,staticcb0,8888,,1,,,,
assignmentdate_4527235D,Tax authority data - Date of assignment.,D,staticcb0,staticcb0,373,,1,,,,
assignmentdate_4955616D,Tax authority assignment date.,D,staticcb0,staticcb0,7566,,1,,,,
birthdate_574D,Client's date of birth (credit bureau data).,D,staticcb0,staticcb0,668,,1,,,,
contractssum_5085716L,Total sum of values of contracts retrieved from external credit bureau.,L,staticcb0,staticcb0,136291,,1,,,,
dateofbirth_337D,Client's date of birth.,D,staticcb0,staticcb0,725,,1,,,,
dateofbirth_342D,Client's date of birth.,D,staticcb0,staticcb0,665,,1,,,,
days120_123L,Number of credit bureau queries for the last 120 days.,L,staticcb0,staticcb0,46,,1,,,,
days180_256L,Number of credit bureau queries for last 180 days.,L,staticcb0,staticcb0,60,,1,,,,
days30_165L,Number of credit bureau queries for the last 30 days.,L,staticcb0,staticcb0,23,,1,,,,
days360_512L,Number of Credit Bureau queries for last 360 days.,L,staticcb0,staticcb0,93,,1,,,,
days90_310L,Number of credit bureau queries for the last 90 days.,L,staticcb0,staticcb0,38,,1,,,,
description_5085714M,Categorization of clients by credit bureau.,M,staticcb0,staticcb0,2,,1,,,,
education_1103M,Level of education of the client provided by external source.,M,staticcb0,staticcb0,5,,1,,,,
education_88M,Education level of the client.,M,staticcb0,staticcb0,5,,1,,,,
firstquarter_103L,Number of results obtained from credit bureau in the first quarter.,L,staticcb0,staticcb0,62,,1,,,,
for3years_128L,Number of rejected applications in the past 3 years.,L,staticcb0,staticcb0,3,,1,,,,
for3years_504L,Client's credit history data over the last three years.,L,staticcb0,staticcb0,55,,1,,,,
for3years_584L,Number of cancellations in the last 3 years.,L,staticcb0,staticcb0,4,,1,,,,
formonth_118L,Number of rejections in a month.,L,staticcb0,staticcb0,2,,1,,,,
formonth_206L,Number of cancelations in the previous month.,L,staticcb0,staticcb0,3,,1,,,,
formonth_535L,Credit history for the last month.,L,staticcb0,staticcb0,10,,1,,,,
forquarter_1017L,Number of cancellations recorded in the credit bureau in the last quarter.,L,staticcb0,staticcb0,4,,1,,,,
forquarter_462L,Number of credit applications that were rejected in the last quarter.,L,staticcb0,staticcb0,2,,1,,,,
forquarter_634L,Credit history for the last quarter.,L,staticcb0,staticcb0,16,,1,,,,
fortoday_1092L,Client's credit history for today.,L,staticcb0,staticcb0,4,,1,,,,
forweek_1077L,Number of cancelations in the last week.,L,staticcb0,staticcb0,3,,1,,,,
forweek_528L,Credit history for the last week.,L,staticcb0,staticcb0,6,,1,,,,
forweek_601L,Number of rejected applications in the last week.,L,staticcb0,staticcb0,2,,1,,,,
foryear_618L,Number of application rejections in the previous year.,L,staticcb0,staticcb0,3,,1,,,,
foryear_818L,Number of cancelations that occurred in last year.,L,staticcb0,staticcb0,4,,1,,,,
foryear_850L,Credit history for the last year.,L,staticcb0,staticcb0,38,,1,,,,
